name,owner,language,stars,forks,watchers,open_issues,created_date,updated_date,license,repository_age_years,days_since_update
tensorflow,tensorflow,C++,197214,76083,197214,2923,2015-11-07 01:19:20+00:00,2026-08-21 20:23:11+00:00,Apache License 2.0,10.79,0
transformers,huggingface,Python,164314,34314,164314,2381,2018-10-29 13:56:00+00:00,2026-08-21 19:15:24+00:00,Apache License 2.0,7.81,0
ML-For-Beginners,microsoft,Jupyter Notebook,89660,22023,89660,14,2021-03-03 01:34:05+00:00,2026-08-21 19:38:48+00:00,MIT License,5.47,0
funNLP,fighting41love,Python,82586,15272,82586,52,2018-08-21 11:20:39+00:00,2026-08-21 18:28:02+00:00,No license specified,8.0,0
awesome-machine-learning,josephmisiti,Python,74097,15616,74097,26,2014-07-15 19:11:19+00:00,2026-08-21 20:11:20+00:00,Other,12.1,0
scikit-learn,scikit-learn,Python,67005,27297,67005,2121,2010-08-17 09:43:38+00:00,2026-08-21 19:21:15+00:00,"BSD 3-Clause ""New"" or ""Revised"" License",16.01,0
gradio,gradio-app,Python,43400,3578,43400,174,2018-12-19 08:24:04+00:00,2026-08-21 19:39:10+00:00,Apache License 2.0,7.67,0
500-AI-Machine-learning-Deep-learning-Computer-vision-NLP-Projects-with-code,ashishpatel26,Not specified,36437,7453,36437,68,2021-01-02 12:08:37+00:00,2026-08-21 19:36:07+00:00,No license specified,5.63,0
C-Plus-Plus,TheAlgorithms,C++,34590,7851,34590,29,2016-07-16 10:19:45+00:00,2026-08-21 14:31:59+00:00,MIT License,10.1,0
netron,lutzroeder,JavaScript,33381,3173,33381,18,2010-12-26 12:53:43+00:00,2026-08-21 16:34:21+00:00,MIT License,15.65,0
ML-From-Scratch,eriklindernoren,Python,32503,5432,32503,77,2017-02-05 12:11:23+00:00,2026-08-21 20:08:13+00:00,MIT License,9.54,0
applied-ml,eugeneyan,Not specified,30071,3992,30071,8,2020-07-04 18:57:47+00:00,2026-08-21 14:35:59+00:00,MIT License,6.13,0
machine-learning-for-software-engineers,ZuzooVn,Not specified,28866,6146,28866,32,2016-10-09 21:20:25+00:00,2026-08-21 17:09:08+00:00,Creative Commons Attribution Share Alike 4.0 International,9.86,0
linkedin-skill-assessments-quizzes,Ebazhanov,Python,28803,12906,28803,21,2019-07-13 19:52:56+00:00,2026-08-21 18:17:53+00:00,GNU Affero General Public License v3.0,7.11,0
cs249r_book,harvard-edge,Python,27970,3534,27970,26,2023-09-06 19:31:06+00:00,2026-08-21 20:21:10+00:00,Other,2.96,0
shap,shap,Jupyter Notebook,25695,3744,25695,1010,2016-11-22 19:17:08+00:00,2026-08-21 18:52:37+00:00,MIT License,9.74,0
homemade-machine-learning,trekhleb,Jupyter Notebook,24772,4194,24772,30,2018-11-01 04:34:19+00:00,2026-08-21 14:21:49+00:00,MIT License,7.8,0
Paddle,PaddlePaddle,C++,24059,6014,24059,1505,2016-08-15 06:59:08+00:00,2026-08-21 17:06:09+00:00,Apache License 2.0,10.02,0
best-of-ml-python,lukasmasuch,Not specified,23727,3146,23727,54,2020-11-29 19:41:36+00:00,2026-08-21 18:10:48+00:00,Creative Commons Attribution Share Alike 4.0 International,5.72,0
C,TheAlgorithms,C,22331,4768,22331,18,2016-07-16 10:17:03+00:00,2026-08-21 17:52:38+00:00,GNU General Public License v3.0,10.1,0
onnx,onnx,Python,21341,4007,21341,283,2017-09-07 04:53:45+00:00,2026-08-21 14:52:48+00:00,Apache License 2.0,8.95,0
rasa,RasaHQ,Python,21300,4918,21300,153,2016-10-14 12:27:49+00:00,2026-08-21 16:10:26+00:00,Apache License 2.0,9.85,0
video2x,k4yt3x,C++,21011,1823,21011,130,2018-02-24 16:34:41+00:00,2026-08-21 20:06:21+00:00,GNU Affero General Public License v3.0,8.49,0
awesome-production-machine-learning,EthicalML,Not specified,20859,2590,20859,31,2018-08-15 14:28:41+00:00,2026-08-21 15:54:59+00:00,MIT License,8.02,0
machine-learning-for-trading,stefan-jansen,Jupyter Notebook,20570,5546,20570,6,2018-05-09 12:33:08+00:00,2026-08-21 20:07:01+00:00,MIT License,8.28,0
stanford-cs-229-machine-learning,afshinea,Not specified,20141,4249,20141,20,2018-08-04 23:01:00+00:00,2026-08-21 19:16:55+00:00,MIT License,8.05,0
ml-agents,Unity-Technologies,C#,19643,4484,19643,20,2017-09-08 21:09:04+00:00,2026-08-21 12:41:47+00:00,Other,8.95,0
LightGBM,lightgbm-org,C++,18707,4056,18707,511,2016-08-05 05:45:50+00:00,2026-08-21 17:04:33+00:00,MIT License,10.04,0
ml-engineering,stas00,Python,18682,1203,18682,3,2020-09-02 19:23:01+00:00,2026-08-21 18:41:49+00:00,Creative Commons Attribution Share Alike 4.0 International,5.97,0
Machine-Learning-Tutorials,ujjwalkarn,Not specified,18129,3969,18129,47,2015-09-12 14:51:38+00:00,2026-08-21 16:26:24+00:00,Creative Commons Zero v1.0 Universal,10.94,0
ML-NLP,NLP-LOVE,Jupyter Notebook,17796,4627,17796,36,2019-07-05 12:49:53+00:00,2026-08-21 08:46:43+00:00,No license specified,7.13,0
